all2lwr.bat 	-- Командный файл для перевода имени файла в нижний регистр
CheckBootTime.bat 	-- Проверяет время загрузки\nUSAGE: CheckBootTime.bat\nИспользует файлы EchoSecc.bat и EchoFail.bat\nВ
CheckChildDomain.bat 	-- Проверяет принадлежность домена мастер-домену\nUSAGE: CheckChildDomain.bat\nИспользует файл EchoWarn.bat\nВ
CheckDC.bat 	-- Проверяет, является ли компьютер контроллером домена\nUSAGE: CheckDC.bat\nИспользует файл EchoWarn.bat\nВ
CheckDocsDir.bat 	-- Проверяет присутствие в системе файлов документации\nUSAGE: CheckDocsDir.bat\nИспользует файлы EchoWarn.bat и EchoSucc.bat\nВ
CheckGateway.bat 	-- Проверяет наличие шлюза в сети\nUSAGE: CheckGateway.bat\nИспользует файлы EchoWarn.bat и EchoSucc.bat\nВ
CheckIEVersion.bat 	-- Проверяет версию установленного Internet Explorer (из реестра Windows)\nUSAGE: CheckIEVersion.bat\nИспользует файлы EchoSecc.bat и EchoFail.bat\nВ
CheckInet.bat 	-- Проверяет Интернет-соединение (ping до DNS сервера Google)\nUSAGE: CheckInet.bat\nИспользует файлы EchoWarn.bat и EchoSucc.bat\nВ
CheckKMSinDNS.bat 	-- Проверяет запись KMS сервера в DNS\nUSAGE: CheckKMSinDNS.batВ
CheckLANInterfaces.bat 	-- Проверяет наличие LAN интерфейса в системе (вывод ipconfig)\nUSAGE: CheckLANInterfaces.batВ
CheckMasterDC.bat 	-- Проверяет принадлежность системы Основному контроллеру домена\nUSAGE: CheckMasterDC.batВ
CheckMemberOfDomain.bat 	-- Проверяет, является ли компьютер членом домена (через реестр)\nUSAGE: CheckMemberOfDomain.bat\nВ
CheckOSType.bat 	-- проверяет тип операционной системы компьютера из списка (данные реестра)\nUSAGE: CheckOSType.bat [LIST]\nВ
CheckPicsDir.bat 	-- Проверяет присутствие в системе папки "Мои рисунки"\nUSAGE: CheckPicsDir.batВ
CheckRealPrinters.bat 	-- Проверяет действующие принтеры в системе\nUSAGE: CheckRealPrinters.bat\nВ
CheckSlaveDC.bat 	-- Проверяет, является ли компьютер ведомым контроллером домена\nUSAGE: CheckSlaveDC.bat\nВ
CheckWirelessInterfaces.bat 	-- Проверяет, присутствуют ли в системе беспроводные адаптеры (по выводу ipconfig)\nUSAGE: CheckWirelessInterfaces.bat\nВ
CleanFiles.bat 	-- Удаляет из системы некоторые нежелательные файлы. Обращаться с осторожностью!\nUSAGE: CleanFiles.bat\n\n!!! Данный скрипт для своего нормального применения требует доработки !!!\nВ
CleanHosts.bat 	-- Очищает etc/hosts файл и добавляет в него некоторые полезные правила\nUSAGE: CleanHosts.bat\n\n!!! Данный скрипт для своего нормального применения требует доработки !!!\nВ
CleanIFEO.bat 	-- Удаляет ключи реестра Image File Execution Options\nUSAGE: CleanIFEO.bat\nВ
CleanLogEvents.bat 	-- Очищает системный журнал Windows\nUSAGE: CleanLogEvents.batВ
CleanPrintQueue.bat 	-- Очищает очередь печати\nUSAGE: CleanPrintQueue.bat\nВ
CleanProcesses.bat 	-- Очищает (убивает) некоторые процессы Windows\nUSAGE: CleanProcesses.batВ
CleanRegistry.bat 	-- Очищает некоторые нежелательные ключи реестра Windows\nUSAGE: CleanRegistry.bat\nВ
CleanSoft.bat 	-- Удаляет из системы некоторое нежелательное программное обеспечение\nUSAGE: CleanSoft.bat\nВ
CleanTasks.bat 	-- Очищает нежелательные задачи\nUSAGE: CleanTasks.bat\nВ
CleanTemp.bat 	-- Удаляет пользовательские и системные временные файлы Windows\nUSAGE: CleanTemp.bat\nВ
CleanWindows.bat 	-- Очистка временных файлов Windows, кеша, корзины и т.п.\nUSAGE: CleanWindows.bat\nВ
CloseAllSharedFiles.bat 	-- Закрывает все общие файлы\nUSAGE: CloseAllSharedFiles.bat\nВ
ConfigureCore.bat 	-- Пример конфигурации core Server\nUSAGE: отредактируйте и запустите этот файл\nВ
ConfigureDHCP.bat 	-- Пример конфигурации DHCP сервера\nUSAGE: Отредактируйте и запустите этот файл\nВ
D.bat 	-- Включение режима отладки\nUSAGE: D.bat command [parameters]В
WoL.bat 	-- Включение/выключение/проверка сервиса Wake on Lan на сетевом интерфейсе\nUSAGE: WoL.bat disable|enable|check interface_id\nВ
WinXPx32SecurityUpdates.bat 	-- Включение/выключение обновлений безопасности для Windows XP\nUSAGE: WinXPx32SecurityUpdates.bat disable|enable\nВ
Wait.bat 	-- Ожидание нажатия любой клавиши (в течение определённого времени)\nUSAGE: Wait.bat [seconds]В
H.bat 	-- Справка по командам\nUSAGE: H.bat [command]В
Halt.bat 	-- Выключить компьютер\nUSAGE: Halt.bat \nВ
Hibernate.bat 	-- Hibernate computer (перевод компьютера в глубокий сон)\nUSAGE: Hibernate.batВ
Hibernation.bat 	-- Включение/выключение/проверка Hibernation\nUSAGE: Hibernation.bat disable|enable|check\nВ
Elevate.bat 	-- Запуск программы с административными полномочиями\nUSAGE: Elevate.bat [command [parameters]]\nФункция использует внешнюю утилиту nircmd.exe\nВ
GPO.bat 	-- Архивация и восстановление всех GPO\nUSAGE: GPO.bat backup|restore [backup_dir]В
DefragObject.bat 	-- Дефрагментация одного файла или каталога\nUSAGE: DefragObject.bat file_or_directory\nСкрипт использует внешнюю утилиту contig.exe\nВ
DeleteDHCPAllScopes.bat 	-- Удаляет все диапазоны на DHCP сервере\nUSAGE: DeleteDHCPAllScopes.bat\nВ
DeleteDHCPScope.bat 	-- Удаляет диапазон (scope) ip адресов с DHCP сервера\nUSAGE: DeleteDHCPScope.bat scope_ip\nВ
DeleteDisallowedCerts.bat 	-- Удаляет неразрешённые (просроченные) сертификаты из системы\nUSAGE: DeleteDisallowedCerts.bat\nВ
DeleteNTLdrRecordsFromBCD.bat 	-- Удаляет NTLDR-based записи из BCD (главного загрузочного меню)\nUSAGE: DeleteNTLdrRecordsFromBCD.bat\nВ
DeleteObject.bat 	-- Удаляет файл или каталог с диска (стандартным способом)\nUSAGE: DeleteObject.bat file_or_directory\nВ
DeleteObjectsOld.bat 	-- Удаляет все файлы и каталоги, начиная с указанного\nUSAGE: DeleteObjectsOld.bat base_dir\nСкрипт использует другой скрипт DeleteObject.batВ
DeleteRegBHO.bat 	-- Удаляет ключи реестра для выбранного объекта Browser Helper (BHO)\nUSAGE: DeleteRegBHO.bat {bho_duid}\nВ
DeleteRegEntry.bat 	-- Удаляет запись в реестре или её значение\nUSAGE: DeleteRegEntry.bat reg_key [reg_val]\nВ
DeleteRegHKCU.bat 	-- Удаляет ключ реестра в кусте HKCU или его значение. Использует функцию DeleteReg.bat\nUSAGE: DeleteRegHKCU.bat hkcu_reg_key [reg_val]\nВ
DeleteRegHKLMSoftware.bat 	-- Удаляет HKLM\\SOFTWARE[\\Wow6432Node] ключи реестра или их значения\nUSAGE: DeleteRegHKLMSoftware.bat hklm_software_reg_key [reg_val]\nВ
DiagDC.bat 	-- Диагностика контроллера домена Windows\nUSAGE: DiagDC.batВ
Directory.bat 	-- Создаёт/удаляет/очищает/проверяет каталог на диске\nUSAGE: Directory.bat delete|empty|make|check directory_name\nВ
DiRsync.bat 	-- Синхронизирует два каталога на диске/в сети. Нужно указывать полные пути к каталогам.\nUSAGE: DiRsync.bat copy|mirror src_absolute_path dst_absolute_path\nВ
DisableAutorunDrives.bat 	-- Отменяет автозапуск со сменных носителей (CD и флешек)\nUSAGE: DisableAutorunDrives.bat\nВ
DisableGWX.bat 	-- Удаляет предложение перейти на Windows 10\nUSAGE: DisableGWX.bat\nВ
Drivers.bat 	-- Архивирует/восстанавливает из резервной копии драйвера в системе.\nUSAGE: Drivers.bat backup|restore [backup_dir]\nИспользует каталог по умолчанию [C:\\BACKUP\\DRIVER\\DoubleDriver], если не указан другой\nСкрипт использует внешнюю утилиту ddriverc.exe (DoubleDriver)В
EchoFail.bat 	-- Выводит произвольное сообщение об ошибке\nUSAGE: EchoFail.bat [message]\nПри выводе функция использует программу hs_color.exe\nВ
EchoSucc.bat 	-- Выводит произвольное сообщение об успешном завершении\nUSAGE: EchoSucc.bat [message]\nПри выводе функция использует программу hs_color.exe\nВ
EchoTitl.bat 	-- Выводит произвольное титульное сообщение\nUSAGE: EchoTitl.bat [message]\nПри выводе функция использует программу hs_color.exe\nВ
EchoWarn.bat 	-- Выводит произвольное сообщение предупреждения\nUSAGE: EchoWarn.bat [message]\nПри выводе функция использует программу hs_color.exe\nВ
EnableConnectToServer.bat 	-- Возможность подключиться к Core Server с консоли \nUSAGE: EnableConnectToServer.bat server_name [host_or_domain\\user [password]]\nФункция использует внешний модуль cmdkey.exe\n\nЕсли вы хотите управлять Server Core без использования доменной аутентификации, для использования альтернативных учётных данных при подключении к управляемому компьютеру выполните следующую команду на управляющем компьютере:\n\n::   cmdkey /add:server.argon.com.ru /user:server\\admin /pass:argonforever\n\nЭто здорово облегчит подключение по WinRM и сделает возможным в принципе управление по MMC.\nВ
EnableNTPServer.bat 	-- Включает NTP сервер на компьютере\nUSAGE: EnableNTPServer.bat\nВ
EnableRegEdit.bat 	-- Делает возможным запуск regedit.exe\nUSAGE: EnableRegEdit.bat\nВ
ExportADUsers.bat 	-- Экспортирует всех пользователей Active Directory в файл [ADUsers.csv]\nUSAGE: ExportADUsers.bat [file_name]\nВ
ExportCerts.bat 	-- Экспортирует доверенные и просроченные сертификаты в файлы\nUSAGE: ExportCerts.bat\nВ
ExportDHCP.bat 	-- Экспортирует параметры DHCP сервера в файл [DHCP.dat]\nUSAGE: ExportDHCP.bat [file_name]\nВ
Feature.bat 	-- Устанавливает/удаляет/проверяет компоненты Windows командой dism. По умолчанию выдаёт список компонентов.\nUSAGE: Feature.bat [disable|enable|check feature_name]\nВ
File.bat 	-- Создаёт/удаляет/проверяет/очищает текстовый файл Windows\nUSAGE: File.bat delete|empty|make|check file_name\nВ
Firewall.bat 	-- Включает/выключает брандмауэр Windows\nUSAGE: Firewall.bat disable|enable\nВ
Fix0xC0000005.bat 	-- Исправляет ошибку 0xC0000005 (удаляет обновления, её вызывающие)\nUSAGE: Fix0xC0000005.bat\nВ
FlushDNS.bat 	-- Очищает кеш DNS\nUSAGE: FlushDNS.bat\nВ
IEProtectedMode.bat 	-- Включает/выключает защищённый режим работы Internet Explorer\nUSAGE: IEProtectedMode.bat disable|enable\nВ
ImportDHCP.bat 	-- Импорт параметров DHCP сервера из файла  [DHCP.dat]\nUSAGE: ImportDHCP.bat [file_name]\nВ
ImportProxySettingsFromIE.bat 	-- Импорт настроек прокси из Internet Explorer\nUSAGE: ImportProxySettingsFromIE.bat\n\nИмпортирование настроек прокси из IE в API WinHttp.\nЭто API используется, например, при обновлениях MSE.\nhttp://pcportal.org.ru/forum/47-304-7В
InstallDriver.bat 	-- Установщик драйвера в системе из Inf файла\nUSAGE: InstallDriver.bat inf-file\nВ
IP6.bat 	-- Включение/выключение IPV6 на всех сетевых интерфейсах\nUSAGE: IP6.bat disable|enableВ
JoinLinesSplitWithBackslash.bat 	-- Объединить в одну строку файлы, разделённые обратным слэшем (фильтр)\nUSAGE: JoinLinesSplitWithBackslash.bat [search [change]]\nИспользует внешнюю программу sed\nВ
JoinToDomain.bat 	-- Включение компьютера в домен Windows\nUSAGE: JoinToDomain.bat domain [account]\nгде account - логин администратора домена\nСкрипт использует встроенную функцию netdom.exe для подключения к домену\n\nВ
Logout.bat 	-- Завершает текущую сессию Windows\nUSAGE: Logout.bat\nВ
LSASSProtection.bat 	-- Включает/выключает LSASS защиту для сторонних модулей\nUSAGE: LSASSProtection.bat disable|enable\nВ
MakeActivePart.bat 	-- Делает активным определённый раздел (partition) диска\nUSAGE: MakeActivePart.bat [disk_number [part_number]]\nПрограмма использует модуль операционной системы diskpart.exe\nВ
MC.bat 	-- Консоль управления Windows\nUSAGE: MC.bat [ad|cer|cmp|dev|dhcp|dsk|dns|env|evt|gp|hv|mob|net|rst|shr|snd|srv|svc|tsk|usr|usr2|wb]В
MobilityCenter.bat 	-- Включение/выключение центра мобильности Windows\nUSAGE: MobilityCenter.bat disable|enable\nВ
MSE.bat 	-- Управление Microsoft Security Client (встроенным антивирусом)\nUSAGE: MSE.bat sigremove|sigupdate|quickscan|fullscan [Show quarantined list]\nВ
MsgBox.bat 	-- Вызывает окно сообщений\nUSAGE: MsgBox.bat [message]\nВ
NetConf.bat 	-- Архивация/восстановление конфигурации сети из каталога [C:\\BACKUP\\NET]\nUSAGE: NetConf.bat backup|restore [backup_dir]\nВ
NetPowerManagement.bat 	-- Включение/выключение управления питанием на всех сетевых интерфейсах\nUSAGE: NetPowerManagement.bat disable|enable\nВ
NetVisibility.bat 	-- Включение,выключение видимости компьютера в сетевом окружении\nUSAGE: NetVisibility.bat disable|enableВ
OEMDriversDel.bat 	-- Удавление всех OEM драйверов\nUSAGE: OEMDriversDel.bat\nСкрипт использует внешнюю программу pnputil.exe\nВ
UserProfileSettings.bat 	-- Установки профиля пользователя\nUSAGE: UserProfileSettings.bat [delete username]\nВ
USBStorage.bat 	-- Сохранение/восстановление содержимого USB носителя в файл [C:\\image.imz]\nUSAGE: USBStorage.bat [backup|restore drive [image]]\nСкрипт использует утилиту usbitcmd.exe\nВ
USBDevOnSoftRemove.bat 	-- Включение/выключение USB устройства для мягкого удаления (использует реестр)\nUSAGE: USBDevOnSoftRemove.bat disable|enable\nВ
UnwrapMikroTikExport.bat 	-- Убирает переносы в файлах экспорта Microtik  [*.export *.rsc]\nUSAGE: UnwrapMikroTikExport.bat [file_names]\nВ
Thumbs.bat 	-- Включает/выключает миниатюры (файлов просмотра рисунков и видео)\nUSAGE: Thumbs.bat disable|enable\nВ
ThumbCache.bat 	-- Включает/выключает кеш миниатюр\nUSAGE: ThumbCache.bat disable|enable\nВ
SysInfo.bat 	-- Выводит информацию о системе\nUSAGE: SysInfo.bat\nВ
P.bat 	-- Пинг хоста [8.8.8.8]\nUSAGE: P.bat [host]\nВ
PathManagement.bat 	-- Управление системными и пользовательскими путями\nUSAGE: PathManagement.bat show|set|delete|add|normalize system|user [path]\nВ
PPTP.bat 	-- Управление PPTP соединениями (с графическим интерфейсом)\nUSAGE: PPTP.bat [delete|add connection_name [server user password [dns-suffix]]]\nВ
Process.bat 	-- Удаляет/проверяет процесс [Выдаёт список процессов]\nUSAGE: Process.bat [delete|check process_name]\nСкрипт использует функции taskkill.exe и tasklist.exe\nВ
Task.bat 	-- Добавляет/удаляет/проверяет запланированные задачи Windows [Выдаёт список задач]\nUSAGE: Task.bat [delete|add|check task_name [hourly|daily|weekly|onstart task]]\nВ
TaskBackupDHCP.bat 	-- Удаление/добавление задачи архивирования параметров DHCP сервера\n\nUSAGE: TaskBackupDHCP.bat delete/add [backup_path]В
TaskBackupSystemDrive.bat 	-- Добавление/удаление/Проверка задачи архивации системного диска (на D:)\nUSAGE: TaskBackupSystemDrive.bat delete|add|check [backup_target]\nВ
TaskMountExchangeDatabases.bat 	-- Добавление/удаление задачи монтирования баз данных Microsoft Exchange\nUSAGE: TaskMountExchangeDatabases.bat delete/add\nВ
TestAD.bat 	-- Тест ActiveDirectory\nUSAGE: TestAD.bat [domain]\nВ
RDP.bat 	-- Разрешает/запрещает RDP соединения к данному хосту\nUSAGE: RDP.bat disable|enable\nВ
Reboot.bat 	-- Перезагружает компьютер\nUSAGE: Reboot.bat\nВ
RegisterDNS.bat 	-- Обновить все DHCP leases и перерегистрировать DNS имена\nUSAGE: RegisterDNS.bat\nВ
RemoteAccessToPnP.bat 	-- Включает/выключает удалённый доступ к PnP (RPC) интерфейсу\nUSAGE: RemoteAccessToPnP.bat disable|enable\nВ
RemoveFromDomain.bat 	-- Удаляет компьютер из домена\nUSAGE: RemoveFromDomain.bat [account]\nгде account - аккаунт администратора домена\nСкрипт использует встроенную функцию netdom.exe\nВ
Release.bat 	-- Отменить DHCP конфигурацию на всех адаптерах\nUSAGE: Release.bat\nВ
Renew.bat 	-- Обновить DHCP и статическую конфигурацию на всех адаптерах\nUSAGE: Renew.bat \nСкрипт использует вызов стандартной программы ipconfig.exe\nВ
RepairDC.bat 	-- Восстанавливает контроллер домена\nUSAGE: RepairDC.bat\nСкрипт использует вызовы стандартных программ dcdiag.exe и netdiag.exe\nВ
RepairDisk.bat 	-- Восстановление диска\nUSAGE: RepairDisk.bat disk\nПрограмма использует встроенную команду chkdsk.exe\nВ
RepairIcons.bat 	-- Восстанавливает иконки\nUSAGE: RepairIcons.bat\nСкрипт использует вызов встроенной программы reg.exe и внешней утилиты hidec.exe\nВ
RepairMSI.bat 	-- Восстанавливает Microsoft Windows Installer\nUSAGE: RepairMSI.bat\nСкрипт использует вызов внешней утилиты hidec.exe и стандартных программ net.exe, regsvr32.exe и msiexec.exe\nВ
RepairNet.bat 	-- Восстановление сетевых настроек\nUSAGE: RepairNet.bat\nВ своей работе скрипт использует другие скрипты из данного пакета\nВ
RepairVBS.bat 	-- Восстанавливает движок Visual Basic Script\nUSAGE: RepairVBS.bat\nСкрипт использует вызов стандартной программы regsvr32.exe\nВ
RepairVSS.bat 	-- Восстановление сервиса теневого копирования томов\nUSAGE: RepairVSS.bat \nСкрипт использует вызовы стандартных функций net.exe, regsvr32.exe и vssvc.exe\nВ
ResetIP4.bat 	-- Общий сброс стека протоколов TCP/IP IPv4\nUSAGE: ResetIP4.bat\nСкрипт использует вызов стандартной функции netsh.exe\nВ
ResetIP6.bat 	-- Общий сброс стека протоколов TCP/IP версии IPv6\nUSAGE: ResetIP6.bat\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
ResetWinsock.bat 	-- Общий сброс установок WinSock\nUSAGE: ResetWinsock.bat\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
RestartSvcHyperV.bat 	-- Запуск службы Hyper-V\nUSAGE: RestartSvcHyperV.bat\nСкрипт использует вызов стандартной утилиты net.exe и зависимых служб Hyper-V\nВ
RoleDHCPServer.bat 	-- Добавляет/удаляет роль DHCP сервера\nUSAGE: RoleDHCPServer.bat add|delete\nСкрипт использует вызов определённого ранее скрипта Feature.bat\nВ
RoleDNSServer.bat 	-- Добавляет/удаляет роль DNS сервера\nUSAGE: RoleDNSServer.bat add|delete\nСкрипт использует вызов ранее определённого скрипта Feature.bat\nВ
RunAsSystem.bat 	-- Запуск команды с административными (SYSTEM) полномочиями\nUSAGE: RunAsSystem.bat [command [parameters]]\nСкрипт использует вызов внешней программы psx.exe (PsExec.exe из sysinternals)\nВ
SetAccessMode.bat 	-- Устанавливает права доступа для файлов и каталогов. Права устанавливаются от имени групп «Администраторы», «Пользователи», «Все»\nUSAGE: SetAccessMode.bat file_or_dir [read/write/full]\nСкрипт использует вызов стандартной утилиты cacls.exe\nВ
SetAttachManagerPolicy.bat 	-- Установить политику диспетчера вложений\nUSAGE: SetAttachManagerPolicy.bat\nСкрипт использует вызов стандартной утилиты reg.exe\n\n!!! Перед запуском файл должен быть проверен и настроен !!!\n\n:: Настройки диспетчера вложений.\n:: http://support.microsoft.com/kb/883260/ru\n::\n::   Диспетчер вложений в операционной системе Windows  защищает  компьютер  от\n:: небезопасных вложений, получаемых по  электронной  почте  или загружаемых из\n:: Интернета.\n::\n::   В случае если диспетчер вложений обнаруживает вложение, которое может быть\n:: небезопасным,  он   предотвращает   открытие   такого   файла   или   выдаёт\n:: предупреждение при его открытии. Следующие параметры  определяют,  будет  ли\n:: открытие файла предотвращено или выдано предупреждение при его открытии:\n::   - Тип используемой программы;\n::   - Тип открываемого или загружаемого файла;\n::   - Установка уровня безопасности зоны Интернета,  из  которой  производится\n:: загрузка файла.\n::\n::   Настроить зоны Интернета можно в браузере Microsoft Internet  Explorer  на\n:: вкладке "Безопасность". Для просмотра  зон  Интернета  выберите  пункт  меню\n:: "Сервис", далее "Свойства обозревателя", а затем щёлкните закладку\n:: "Безопасность". Разделяют четыре зоны Интернета:\n::   - Интернет;\n::   - Местная интрасеть;\n::   - Надёжные узлы;\n::   - Ограниченные узлы.\n::\n::   Диспетчер вложений классифицирует  получаемые  или  загружаемые  файлы  по\n:: типу и расширению файла. Типы  файлов  классифицируются  по  группам  риска,\n:: диспетчер вложений выделяет группу высокого, среднего и низкого  риска.  При\n:: сохранении на жёсткий  диск  компьютера  файла  из  программы,  использующей\n:: диспетчер вложений, одновременно сохраняются сведения о зоне  Интернета  для\n:: данного файла.\n::   Например, при сохранении на жёсткий диск компьютера сжатого файла  (.zip),\n:: присоединённого  к  электронному  сообщению,  сведения  о   зоне   Интернета\n:: сохраняются одновременно с сохранением сжатого файла. При попытке извлечения\n:: содержимого сжатого файла или выполнения файла действие не выполняется.\n::   Сведения о зоне Интернета сохраняются  одновременно  с  сохранением  файла\n:: только в случае, если файловой системой жёсткого диска является NTFS.\n::   При попытке загрузить или открыть файл с  веб-узла,  находящегося  в  зоне\n:: ограниченного  Интернета,  может  появиться  сообщение  о  том,   что   файл\n:: заблокирован.\n::   При попытке открыть файл высокого уровня риска с узла, находящегося в зоне\n:: Интернета с безопасностью уровня "Интернет", может появиться предупреждающее\n:: сообщение, однако файлы данного типа доступны для открытия.\n::   Типы файлов, которые диспетчер вложений не относит к группе  высокого  или\n:: низкого риска, включаются в группу среднего риска.\n::   При попытке  открыть  файл  среднего  уровня  риска,  находящийся  в  зоне\n:: Интернета с уровнем безопасности "Интернет" или ограниченной зоны Интернета,\n:: может  появиться  предупреждающее  сообщение,  однако  файлы  данного   типа\n:: доступны для открытия.\nВ
SetBootParams.bat 	-- Задаёт параметры первоначальной загрузки Windows\nUSAGE: SetBootParams.bat\nСкрипт использует вызов стандартных функций reg.exe и bcedit.exe\n\nСкрипт добавляет в систему следующие возможности:\n:: Задаём количество резервных копий, которые будет хранить система.\n:: Включаем пункт "Загрузка последней удачной конфигурации" в диспетчере загрузки.\n:: Возвращаем старый диспетчер загрузки в Windows 8, вызываемый по F8 (дополнительные варианты загрузки).\n:: Выключаем загрузочное меню в Windows (выбор ОС при загрузке).\nВ
SetDesktopParams.bat 	-- Установить параметры рабочего стола\nUSAGE: SetDesktopParams.bat\nСкрипт использует вызов стандартной утилиты reg.exe\n\nСкрипт устанавливает следующие параметры:\n:: Отображать значок "Компьютер" на рабочем столе (для Windows XP)\n:: Отобразить значок "Корзина" на рабочем столе (для Windows XP)\n:: Отображать значок "Компьютер" на рабочем столе (для Windows 7)\n:: Отобразить значок "Корзина" на рабочем столе (для Windows 7)\n:: Отобразить значок "Корзина" на рабочем столе\nВ
SetDHCPDNSCredentials.bat 	-- Устанавливает учётные записи для DHCP и DNS серверов\nUSAGE: SetDHCPDNSCredentials.bat [domain\\user [pass]]\nСкрипт использует вызов стандартных утилит netsh.exe и netdom.exe\nВ
SetDHCPDNSServers.bat 	-- Устанавливает для DHCP сервера записи DNS серверов\nUSAGE: SetDHCPDNSServers.bat dns_server1 [dns_server2 [..]]\nСкрипт использует вызов стандарт ной утилиты netsh.exe\nВ
SetDHCPDNSSuffix.bat 	-- Устанавливает для DHCP сервера DNS суффикс\nUSAGE: SetDHCPDNSSuffix.bat dns_suffix\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
SetDHCPNTPServers.bat 	-- Задаёт для заданного DHCP сервера записи NTP серверов\nUSAGE: SetDHCPNTPServers.bat ntp_server1 [ntp_server2 [..]]\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
SetDHCPScopeGateway.bat 	-- Задаёт на DHCP сервере в диапазоне IP шлюз\nUSAGE: SetDHCPScopeGateway.bat scope_ip gateway\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
SetDHCPScopeRange.bat 	-- Задаёт на DHCP сервере диапазон IP адресов (верхний и нижний пределы)\nUSAGE: SetDHCPScopeRange.bat scope_ip ip_min ip_max\nСкрипт использует вызов стандартной функции netsh.exe\nВ
SetDHCPTFTPServer.bat 	-- Назначает данному DHCP серверу TFTP сервер\nUSAGE: SetDHCPTFTPServer.bat tftp_server\nСкрипт использует вызов стандартной функции netsh.exe\nВ
SetDNS.bat 	-- Задаёт DNS сервера на сетевом интерфейсе\nUSAGE: SetDHCPTFTPServer.bat interface_id [dns_server1 [dns_server2 [dns_server3]]]\nСкрипт использует вызов стандартной утилиты netsh.exe\nВ
SetDNSServerParams.bat 	-- Устанавливает параметры DNS сервера Windows по умолчанию\nUSAGE: SetDNSServerParams.bat\nСкрипт использует вызов стандартной утилиты dnscmd.exe\nВ
SetExplorerParams.bat 	-- Устанавливает параметры проводника Windows по умолчанию (скрывает/показывает папку «Библиотеки»)\nUSAGE: SetExplorerParams.bat\nСкрипт использует вызов стандартной утилиты reg.exe\nВ
SetHostName.bat 	-- Переименовывает имя компьютера в домене Windows\nUSAGE: SetHostName.bat host_name\nСкрипт использует вызов стандартной функции netdom.exe\nВ
